"cd_infection_gloves","d_completed","cd_regio"
"3","2020-04-10","VLA"
"2","2020-04-14","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"1","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"1","2020-04-15","VLA"
"1","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"1","2020-04-15","BRU"
"2","2020-04-15","VLA"
"4","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"1","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"1","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"1","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"1","2020-04-15","VLA"
"1","2020-04-15","VLA"
"3","2020-04-15","VLA"
"4","2020-04-15","VLA"
"2","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"2","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-15","VLA"
"3","2020-04-16","VLA"
"3","2020-04-17","VLA"
"3","2020-04-20","VLA"
"3","2020-04-20","VLA"
"1","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"2","2020-04-22","VLA"
"3","2020-04-22","VLA"
"1","2020-04-22","VLA"
"2","2020-04-22","VLA"
"2","2020-04-22","VLA"
"3","2020-04-22","VLA"
"1","2020-04-22","VLA"
"3","2020-04-22","VLA"
"1","2020-04-22","VLA"
"2","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"2","2020-04-22","VLA"
"2","2020-04-22","VLA"
"1","2020-04-22","VLA"
"3","2020-04-22","VLA"
"2","2020-04-22","VLA"
"1","2020-04-22","BRU"
"3","2020-04-22","VLA"
"1","2020-04-22","VLA"
"3","2020-04-22","VLA"
"2","2020-04-22","VLA"
"3","2020-04-22","VLA"
"1","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"2","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"2","2020-04-22","VLA"
"1","2020-04-22","VLA"
"3","2020-04-22","VLA"
"2","2020-04-22","VLA"
"2","2020-04-22","VLA"
"3","2020-04-22","VLA"
"2","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-22","VLA"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"2","2020-04-22","VLA"
"3","2020-04-22","VLA"
"2","2020-04-22","VLA"
"1","2020-04-22","VLA"
"1","2020-04-22","VLA"
"3","2020-04-22","VLA"
"1","2020-04-22","VLA"
"3","2020-04-22","VLA"
"2","2020-04-22","VLA"
"3","2020-04-22","VLA"
"3","2020-04-23","VLA"
"2","2020-04-23","VLA"
"3","2020-04-23","VLA"
"2","2020-04-23","VLA"
"3","2020-04-28","VLA"
"3","2020-04-28","VLA"
"3","2020-04-29","VLA"
"2","2020-04-29","VLA"
"2","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"4","2020-04-29","VLA"
"3","2020-04-29","VLA"
"3","2020-04-29","VLA"
"1","2020-04-29","VLA"
"3","2020-05-06","VLA"
