"nr_num_alc_hand_disinfectant","d_completed","cd_regio"
"","2020-04-06","VLA"
"8","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"900","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"40","2020-04-06","VLA"
"","2020-04-06","VLA"
"6","2020-04-07","VLA"
"","2020-04-07","VLA"
"","2020-04-07","VLA"
"","2020-04-07","BRU"
"30","2020-04-07","VLA"
"","2020-04-07","VLA"
"2","2020-04-08","WAL"
"5","2020-04-08","VLA"
"2","2020-04-08","WAL"
"15","2020-04-08","VLA"
"426","2020-04-08","VLA"
"","2020-04-08","VLA"
"","2020-04-08","VLA"
"129","2020-04-08","VLA"
"16","2020-04-08","VLA"
"","2020-04-08","WAL"
"3","2020-04-08","BRU"
"35","2020-04-08","VLA"
"1199","2020-04-08","VLA"
"147","2020-04-08","VLA"
"","2020-04-08","VLA"
"15","2020-04-08","VLA"
"1108","2020-04-08","VLA"
"3","2020-04-09","WAL"
"1000","2020-04-09","VLA"
"10","2020-04-09","WAL"
"","2020-04-09","VLA"
"","2020-04-10","WAL"
"","2020-04-10","WAL"
"","2020-04-13","WAL"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"5","2020-04-13","VLA"
"6","2020-04-13","VLA"
"1","2020-04-13","VLA"
"2","2020-04-13","VLA"
"1000","2020-04-13","VLA"
"1","2020-04-13","BRU"
"","2020-04-13","VLA"
"","2020-04-13","VLA"
"20","2020-04-13","VLA"
"","2020-04-13","VLA"
"","2020-04-14","VLA"
"","2020-04-14","VLA"
"","2020-04-14","VLA"
"","2020-04-14","VLA"
"","2020-04-14","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"1000","2020-04-15","VLA"
"","2020-04-15","VLA"
"20","2020-04-15","VLA"
"50","2020-04-15","VLA"
"","2020-04-15","WAL"
"10","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","WAL"
"1000","2020-04-15","VLA"
"","2020-04-15","WAL"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"20","2020-04-15","VLA"
"10","2020-04-15","VLA"
"","2020-04-15","VLA"
"","2020-04-15","VLA"
"4","2020-04-15","BRU"
"10","2020-04-15","VLA"
"","2020-04-15","VLA"
"120","2020-04-17","WAL"
"","2020-04-20","VLA"
"20","2020-04-20","VLA"
"10","2020-04-20","VLA"
"","2020-04-20","WAL"
"","2020-04-20","VLA"
"","2020-04-20","WAL"
"","2020-04-20","WAL"
"","2020-04-20","VLA"
"10","2020-04-20","VLA"
"","2020-04-20","VLA"
"1200","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","WAL"
"","2020-04-20","BRU"
"","2020-04-20","WAL"
"","2020-04-20","VLA"
"","2020-04-20","WAL"
"5","2020-04-20","BRU"
"20","2020-04-20","VLA"
"4","2020-04-20","BRU"
"10","2020-04-20","VLA"
"","2020-04-20","VLA"
