"nr_num_infection_gloves","d_completed","cd_regio"
"","2020-04-06","VLA"
"7","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"10","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"","2020-04-06","VLA"
"50","2020-04-06","VLA"
"5115","2020-04-06","VLA"
"","2020-04-07","VLA"
"","2020-04-07","BRU"
"15","2020-04-07","VLA"
"6","2020-04-07","VLA"
"","2020-04-07","VLA"
"","2020-04-07","VLA"
"15","2020-04-08","VLA"
"3676","2020-04-08","VLA"
"3","2020-04-08","VLA"
"2","2020-04-08","WAL"
"","2020-04-08","VLA"
"3","2020-04-08","VLA"
"","2020-04-08","WAL"
"3978","2020-04-08","VLA"
"","2020-04-08","VLA"
"1414","2020-04-08","VLA"
"429","2020-04-08","VLA"
"","2020-04-08","VLA"
"5","2020-04-08","VLA"
"488","2020-04-08","VLA"
"1","2020-04-08","WAL"
"2","2020-04-08","VLA"
"5","2020-04-08","BRU"
"","2020-04-09","VLA"
"","2020-04-09","WAL"
"","2020-04-09","VLA"
"1","2020-04-09","WAL"
"","2020-04-10","WAL"
"","2020-04-10","WAL"
"2","2020-04-13","VLA"
"","2020-04-13","WAL"
"4800","2020-04-13","VLA"
"","2020-04-13","VLA"
"10","2020-04-13","VLA"
"","2020-04-13","VLA"
"90","2020-04-13","VLA"
"","2020-04-13","VLA"
"20","2020-04-13","VLA"
"10","2020-04-13","VLA"
"","2020-04-13","VLA"
"3","2020-04-13","BRU"
"2","2020-04-13","VLA"
"1414","2020-04-14","VLA"
"429","2020-04-14","VLA"
"488","2020-04-14","VLA"
"3978","2020-04-14","VLA"
"3676","2020-04-14","VLA"
"488","2020-04-15","VLA"
"4800","2020-04-15","VLA"
"25","2020-04-15","VLA"
"50","2020-04-15","VLA"
"13","2020-04-15","VLA"
"","2020-04-15","WAL"
"","2020-04-15","VLA"
"","2020-04-15","WAL"
"","2020-04-15","VLA"
"13","2020-04-15","VLA"
"1414","2020-04-15","VLA"
"","2020-04-15","VLA"
"3676","2020-04-15","VLA"
"15","2020-04-15","BRU"
"","2020-04-15","VLA"
"22","2020-04-15","VLA"
"","2020-04-15","VLA"
"13","2020-04-15","VLA"
"","2020-04-15","VLA"
"429","2020-04-15","VLA"
"","2020-04-15","WAL"
"3978","2020-04-15","VLA"
"","2020-04-17","WAL"
"","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","WAL"
"3676","2020-04-20","VLA"
"","2020-04-20","WAL"
"488","2020-04-20","VLA"
"25","2020-04-20","VLA"
"3978","2020-04-20","VLA"
"4800","2020-04-20","VLA"
"500","2020-04-20","VLA"
"","2020-04-20","VLA"
"","2020-04-20","WAL"
"","2020-04-20","WAL"
"13","2020-04-20","VLA"
"5","2020-04-20","BRU"
"1414","2020-04-20","VLA"
"","2020-04-20","WAL"
"13","2020-04-20","VLA"
"3","2020-04-20","BRU"
"","2020-04-20","VLA"
"429","2020-04-20","VLA"
"25","2020-04-20","VLA"
"3","2020-04-20","BRU"
"13","2020-04-20","VLA"
"15","2020-04-20","WAL"
